,Customer_ID,customer_name,product_group,product_family,Product_ID,product_name,Month,ARR,IsRecurring,currency,primary_key,Product_Join_Month,Product_Last_Month,Product_Churn_Month,Customer_Join_Month,customer_end_date,Customer_Churn_Month,segment_start_date,segment_end_date,ARR_BOP,arr_delta,Flag_New_Customer,Flag_Churn,Flag_Cross_Sell,Flag_Downgrade,existing_customer_flag,existing_product_flag,Flag_Upsell,Flag_Downsell,Delta_New_Customer,Delta_Churn,Delta_Cross_Sell,Delta_Downgrade,Delta_Upsell,Delta_Downsell,Customer_Cohort,Customer_Cohort_Year,Customer_Tenure,Customer_name,Product_family,Dimension1,Dimension2,Dimension3,NRR,GRR,GRR_reversed,NRR_reversed,EoP_reversed
0,CUST-00001,Customer 1,Analytics,Analytics - BI,PROD-0008,Report Builder,2024-01-01,106054.73,1,GBP,0,2024-01-01,2024-10-01,2024-11-01,2024-01-01,2024-10-01,2024-11-01,2024-01-01,2024-10-01,0.0,106054.73,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106054.73,0.0,0.0,0.0,0.0,0.0,2024-01-01,2024,0,,,UK,Europe,Enterprise,0.0,0.0,-0.0,-0.0,-106054.73
1,CUST-00001,Customer 1,Analytics,Analytics - BI,PROD-0008,Report Builder,2024-02-01,119892.28,1,GBP,0,2024-01-01,2024-10-01,2024-11-01,2024-01-01,2024-10-01,2024-11-01,2024-01-01,2024-10-01,106054.73,13837.550000000003,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,13837.550000000003,0.0,2024-01-01,2024,1,,,UK,Europe,Enterprise,119892.28,106054.73,-106054.73,-119892.28,-119892.28
2,CUST-00001,Customer 1,Analytics,Analytics - BI,PROD-0008,Report Builder,2024-03-01,115183.18,1,GBP,0,2024-01-01,2024-10-01,2024-11-01,2024-01-01,2024-10-01,2024-11-01,2024-01-01,2024-10-01,119892.28,-4709.100000000006,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-4709.100000000006,2024-01-01,2024,2,,,UK,Europe,Enterprise,115183.18,115183.18,-115183.18,-115183.18,-115183.18
3,CUST-00001,Customer 1,Analytics,Analytics - BI,PROD-0008,Report Builder,2024-04-01,119938.57,1,GBP,0,2024-01-01,2024-10-01,2024-11-01,2024-01-01,2024-10-01,2024-11-01,2024-01-01,2024-10-01,115183.18,4755.390000000014,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4755.390000000014,0.0,2024-01-01,2024,3,,,UK,Europe,Enterprise,119938.57,115183.18,-115183.18,-119938.57,-119938.57
4,CUST-00001,Customer 1,Analytics,Analytics - BI,PROD-0008,Report Builder,2024-05-01,112656.32,1,GBP,0,2024-01-01,2024-10-01,2024-11-01,2024-01-01,2024-10-01,2024-11-01,2024-01-01,2024-10-01,119938.57,-7282.25,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-7282.25,2024-01-01,2024,4,,,UK,Europe,Enterprise,112656.32,112656.32,-112656.32,-112656.32,-112656.32
5,CUST-00001,Customer 1,Analytics,Analytics - BI,PROD-0008,Report Builder,2024-06-01,116201.65,1,GBP,0,2024-01-01,2024-10-01,2024-11-01,2024-01-01,2024-10-01,2024-11-01,2024-01-01,2024-10-01,112656.32,3545.329999999987,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3545.329999999987,0.0,2024-01-01,2024,5,,,UK,Europe,Enterprise,116201.65,112656.32,-112656.32,-116201.65,-116201.65
6,CUST-00001,Customer 1,Analytics,Analytics - BI,PROD-0008,Report Builder,2024-07-01,111137.67,1,GBP,0,2024-01-01,2024-10-01,2024-11-01,2024-01-01,2024-10-01,2024-11-01,2024-01-01,2024-10-01,116201.65,-5063.979999999996,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-5063.979999999996,2024-01-01,2024,6,,,UK,Europe,Enterprise,111137.67,111137.67,-111137.67,-111137.67,-111137.67
7,CUST-00001,Customer 1,Analytics,Analytics - BI,PROD-0008,Report Builder,2024-08-01,125660.31,1,GBP,0,2024-01-01,2024-10-01,2024-11-01,2024-01-01,2024-10-01,2024-11-01,2024-01-01,2024-10-01,111137.67,14522.64,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,14522.64,0.0,2024-01-01,2024,7,,,UK,Europe,Enterprise,125660.31,111137.67,-111137.67,-125660.31,-125660.31
8,CUST-00001,Customer 1,Analytics,Analytics - BI,PROD-0008,Report Builder,2024-09-01,106025.04,1,GBP,0,2024-01-01,2024-10-01,2024-11-01,2024-01-01,2024-10-01,2024-11-01,2024-01-01,2024-10-01,125660.31,-19635.270000000004,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-19635.270000000004,2024-01-01,2024,8,,,UK,Europe,Enterprise,106025.04,106025.04,-106025.04,-106025.04,-106025.04
9,CUST-00001,Customer 1,Analytics,Analytics - BI,PROD-0008,Report Builder,2024-10-01,114144.0,1,GBP,0,2024-01-01,2024-10-01,2024-11-01,2024-01-01,2024-10-01,2024-11-01,2024-01-01,2024-10-01,106025.04,8118.960000000006,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,8118.960000000006,0.0,2024-01-01,2024,9,,,UK,Europe,Enterprise,114144.0,106025.04,-106025.04,-114144.0,-114144.0
10,CUST-00001,Customer 1,Analytics,Analytics - BI,PROD-0008,Report Builder,2024-11-01,0.0,1,GBP,0,2024-01-01,2024-10-01,2024-11-01,2024-01-01,2024-10-01,2024-11-01,2024-01-01,2024-10-01,114144.0,-114144.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,-0.0,-114144.0,-0.0,-0.0,-0.0,-0.0,2024-01-01,2024,10,,,UK,Europe,Enterprise,0.0,0.0,-0.0,-0.0,-0.0
